repo,natural_status,gate,override_used,m1_role,m1_framework,m1_architecture,m1_confidence,m2_language,m2_files_scanned,m3_guesses,language_review_required,ground_truth_role,ground_truth_technology,role_correct,technology_correct,failure_category
lasio,COMPLETE,APPROVED,No,WELL_LOGGING,Lasio,LIBRARY,0.875,python,32,0,No,,,,,
librosa,COMPLETE,APPROVED,No,AUDIO_PROCESSING,librosa,LIBRARY,1.0,python,78,0,No,,,,,
micropython,COMPLETE,APPROVED,No,EMBEDDED_SYSTEM,MicroPython,LIBRARY,1.0,python,1937,0,No,,,,,
napalm,COMPLETE,APPROVED,No,NETWORK_TOOL,NAPALM,LIBRARY,1.0,python,113,0,No,,,,,
netmiko,COMPLETE,APPROVED,No,NETWORK_TOOL,Netmiko,LIBRARY,1.0,python,346,0,No,,,,,
networkx,COMPLETE,APPROVED,No,BIOINFORMATICS_SYSTEM,NetworkX,LIBRARY,1.0,python,690,0,No,,,,,
nginx,COMPLETE,APPROVED,No,WEB_SERVER,Nginx,UNKNOWN,0.875,c_cpp,,,No,,,,,
nltk,COMPLETE,APPROVED,No,NLP_TOOL,NLTK,LIBRARY,1.0,python,386,0,No,,,,,
odoo,COMPLETE,APPROVED,No,ERP_SYSTEM,Odoo,MVC,1.0,python,8485,0,No,,,,,
opencv-python,COMPLETE,APPROVED,No,COMPUTER_VISION,OpenCV,LIBRARY,1.0,python,9,0,No,,,,,
pandapower,COMPLETE,APPROVED,No,ENERGY_SYSTEM,pandapower,LIBRARY,1.0,python,506,0,No,,,,,
pennylane,COMPLETE,APPROVED,No,QUANTUM_COMPUTING,PennyLane,LIBRARY,1.0,python,1365,0,No,,,,,
poliastro,COMPLETE,APPROVED,No,SPACE_SYSTEM,poliastro,LIBRARY,1.0,python,189,0,No,,,,,
pulp,COMPLETE,APPROVED,No,OPTIMIZATION_TOOL,PuLP,LIBRARY,1.0,python,99,0,No,,,,,
pulumi,COMPLETE,APPROVED,No,CLOUD_INFRASTRUCTURE,Pulumi,LIBRARY,1.0,go,4664,,No,,,,,
pwntools,COMPLETE,APPROVED,No,SECURITY_TOOL,pwntools,LIBRARY,1.0,python,227,0,No,,,,,
py-evm,COMPLETE,APPROVED,No,BLOCKCHAIN_NODE,Web3.py,LIBRARY,1.0,python,424,0,No,,,,,
pyNastran,COMPLETE,APPROVED,No,AEROSPACE_STRUCTURAL_SIMULATION,pyNastran,LIBRARY,1.0,python,1586,0,No,,,,,
pydicom,COMPLETE,APPROVED,No,MEDICAL_SYSTEM,PyDICOM,LIBRARY,1.0,python,79,0,No,,,,,
pymodbus,COMPLETE,APPROVED,No,EMBEDDED_SYSTEM,Pymodbus,LIBRARY,0.875,python,128,0,No,,,,,
pyreservoir,COMPLETE,APPROVED,No,RESERVOIR_ENGINEERING,Pyreservoir,UNKNOWN,0.875,python,14,0,No,,,,,
python,REVIEW_REQUIRED,REVIEW_REQUIRED,Yes,BIOINFORMATICS_SYSTEM,Python,LIBRARY,0.75,python,2303,0,No,,,,,
python-igraph,COMPLETE,APPROVED,No,ML_PIPELINE,iGraph,LIBRARY,1.0,python,150,0,No,,,,,
python-jenkins,COMPLETE,APPROVED,No,CI_CD_PIPELINE,Jenkins,LIBRARY,1.0,python,141,0,No,,,,,
python-sgp4,COMPLETE,APPROVED,No,SPACE_SYSTEM,sgp4,LIBRARY,1.0,python,18,0,No,,,,,
qiskit,COMPLETE,APPROVED,No,QUANTUM_COMPUTING,Qiskit,LIBRARY,1.0,python,1149,0,No,,,,,
rclpy,COMPLETE,APPROVED,No,ROBOTICS_SYSTEM,Rclpy,LIBRARY,0.875,python,128,0,No,,,,,
react,COMPLETE,APPROVED,No,FRONTEND_APPLICATION,React,UNKNOWN,1.0,javascript,,,No,,,,,
redis,COMPLETE,APPROVED,No,DATABASE_SYSTEM,Redis,UNKNOWN,0.875,c_cpp,,,No,,,,,
rust,REVIEW_REQUIRED,REVIEW_REQUIRED,Yes,COMPILER_TOOLCHAIN,Rust,UNKNOWN,0.875,rust,,,No,,,,,
scapy,COMPLETE,APPROVED,No,SECURITY_TOOL,Scapy,LIBRARY,1.0,python,404,0,No,,,,,
shapely,COMPLETE,APPROVED,No,GIS_SYSTEM,Shapely,LIBRARY,0.875,python,159,0,No,,,,,
solana-py,COMPLETE,APPROVED,No,BLOCKCHAIN_NODE,Solana,LIBRARY,1.0,python,52,0,No,,,,,
spaCy,COMPLETE,APPROVED,No,NLP_TOOL,spaCy,LIBRARY,1.0,python,876,0,No,,,,,
spring-boot,COMPLETE,APPROVED,No,WEB_APPLICATION,Spring Boot,UNKNOWN,1.0,java,,,No,,,,,
striplog,REVIEW_REQUIRED,REVIEW_REQUIRED,Yes,WELL_LOGGING,striplog,LIBRARY,0.875,python,35,0,No,,,,,
toga,COMPLETE,APPROVED,No,MOBILE_APPLICATION,BeeWare/Toga,LIBRARY,1.0,python,1138,0,No,,,,,
u-boot,COMPLETE,APPROVED,No,FIRMWARE,U Boot,LIBRARY,0.875,c_cpp,,,No,,,,,
ui5-webcomponents,COMPLETE,APPROVED,No,FRONTEND_APPLICATION,React,UNKNOWN,1.0,javascript,,,No,,,,,
ultralytics,COMPLETE,APPROVED,No,COMPUTER_VISION,Ultralytics/YOLO,LIBRARY,1.0,python,248,0,No,,,,,
vscode,COMPLETE,APPROVED,No,FRONTEND_APPLICATION,React,UNKNOWN,1.0,javascript,,,No,,,,,
welleng,COMPLETE,APPROVED,No,DRILLING_SYSTEM,welleng,LIBRARY,1.0,python,65,0,No,,,,,
whisper,COMPLETE,APPROVED,No,AUDIO_PROCESSING,Whisper,LIBRARY,1.0,python,20,0,No,,,,,
xarray,COMPLETE,APPROVED,No,CLIMATE_SCIENCE,xarray,LIBRARY,1.0,python,237,0,No,,,,,
zephyr,COMPLETE,APPROVED,No,FIRMWARE,Zephyr RTOS,LAYERED,1.0,c_cpp,,,No,,,,,
zipline,COMPLETE,APPROVED,No,FINANCE_SYSTEM,Zipline,LIBRARY,1.0,python,288,0,No,,,,,
